region,period,scen,rem
64,2075,SSP1,-13.96671274
64,2080,SSP1,-15.34881628
64,2085,SSP1,-16.28296105
64,2090,SSP1,-18.285581
64,2095,SSP1,-18.52639713
64,2100,SSP1,-18.29112433
72,2015,SSP1,NA
72,2020,SSP1,-0.398656787
72,2025,SSP1,-0.568603207
72,2030,SSP1,-0.793988964
72,2035,SSP1,-1.074445869
72,2040,SSP1,-1.418755373
72,2045,SSP1,-1.825225346
72,2050,SSP1,-2.286718422
72,2055,SSP1,-2.790394897
72,2060,SSP1,-3.443964532
72,2065,SSP1,-4.044392083
72,2070,SSP1,-4.635700721
72,2075,SSP1,-5.150260342
72,2080,SSP1,-5.557558992
72,2085,SSP1,-6.437218528
72,2090,SSP1,-6.850535459
72,2095,SSP1,-7.253960928
72,2100,SSP1,-7.585915319
140,2015,SSP1,NA
140,2020,SSP1,-0.043096337
140,2025,SSP1,-0.070644258
140,2030,SSP1,-0.119377932
140,2035,SSP1,-0.208439581
140,2040,SSP1,-0.358642079
140,2045,SSP1,-0.618573614
140,2050,SSP1,-1.016128824
140,2055,SSP1,-1.607800689
140,2060,SSP1,-2.549037052
140,2065,SSP1,-3.752405129
140,2070,SSP1,-5.267930831
140,2075,SSP1,-7.635921742
140,2080,SSP1,-10.031509
140,2085,SSP1,-12.92853855
140,2090,SSP1,-17.59253031
140,2095,SSP1,-22.02721751
140,2100,SSP1,-27.08651284
124,2015,SSP1,NA
124,2020,SSP1,-27.050625
124,2025,SSP1,-26.43393279
124,2030,SSP1,-25.03114113
124,2035,SSP1,-22.57288881
124,2040,SSP1,-19.79009536
124,2045,SSP1,-18.00143292
124,2050,SSP1,-14.90029258
124,2055,SSP1,-11.14543534
124,2060,SSP1,-9.176098779
124,2065,SSP1,-5.019110654
124,2070,SSP1,0.049066941
124,2075,SSP1,1.39868222
124,2080,SSP1,6.151798114
124,2085,SSP1,13.51973886
124,2090,SSP1,21.4802644
124,2095,SSP1,22.2857474
124,2100,SSP1,30.89468135
756,2015,SSP1,NA
756,2020,SSP1,-5.672855218
756,2025,SSP1,-6.73796391
756,2030,SSP1,-7.924298026
756,2035,SSP1,-9.254664692
756,2040,SSP1,-10.93435942
756,2045,SSP1,-12.64215229
756,2050,SSP1,-14.52092903
756,2055,SSP1,-16.83635983
