year,countrycode,scenario,hdi.proj
2050,ETH,SSP1,0.621849418
2055,ETH,SSP1,0.641741404
2060,ETH,SSP1,0.658309031
2065,ETH,SSP1,0.674310777
2070,ETH,SSP1,0.68932187
2075,ETH,SSP1,0.70417715
2080,ETH,SSP1,NA
2085,ETH,SSP1,NA
2090,ETH,SSP1,NA
2095,ETH,SSP1,NA
2010,FIN,SSP1,0.85652251
2015,FIN,SSP1,0.861516586
2020,FIN,SSP1,0.867690244
2025,FIN,SSP1,0.874077597
2030,FIN,SSP1,0.879893884
2035,FIN,SSP1,0.884032452
2040,FIN,SSP1,0.887719342
2045,FIN,SSP1,0.890795382
2050,FIN,SSP1,0.891307001
2055,FIN,SSP1,0.889674383
2060,FIN,SSP1,0.88557624
2065,FIN,SSP1,0.88262284
2070,FIN,SSP1,0.880565767
