countrycode,year,gii,scenario
CAN,2004,0.077318402,Observed
CHE,2004,0.01,Observed
CHL,2004,0.365233065,Observed
CHN,2004,0.182985867,Observed
CIV,2004,0.687256454,Observed
CMR,2004,0.652359902,Observed
COD,2004,0.642065964,Observed
COG,2004,0.648948715,Observed
COL,2004,0.475391812,Observed
COM,2004,0.661686837,Observed
CPV,2004,0.489823603,Observed
CRI,2004,0.344458898,Observed
CUB,2004,0.321702003,Observed
CYP,2004,0.044724322,Observed
CZE,2004,0.076988235,Observed
DEU,2004,0.034721168,Observed
DNK,2004,0.01,Observed
DOM,2004,0.479867008,Observed
DZA,2004,0.532085557,Observed
ECU,2004,0.46648916,Observed
EGY,2004,0.576855795,Observed
ESP,2004,0.040974136,Observed
EST,2004,0.18448561,Observed
ETH,2004,0.664369031,Observed
FIN,2004,0.010676124,Observed
FJI,2004,0.429196495,Observed
FRA,2004,0.066441403,Observed
GAB,2004,0.62411107,Observed
GBR,2004,0.15706022,Observed
GEO,2004,0.374006537,Observed
GHA,2004,0.569081063,Observed
GIN,2004,0.662081012,Observed
GMB,2004,0.654949715,Observed
GNB,2004,0.669757928,Observed
GNQ,2004,0.623632324,Observed
GRC,2004,0.105107676,Observed
GTM,2004,0.565123955,Observed
GUY,2004,0.533820247,Observed
HND,2004,0.541289973,Observed
HRV,2004,0.091653924,Observed
HTI,2004,0.628858923,Observed
HUN,2004,0.217457617,Observed
IDN,2004,0.542646322,Observed
IND,2004,0.610562379,Observed
IRL,2004,0.141566635,Observed
IRN,2004,0.506837187,Observed
ISL,2004,0.064244429,Observed
ISR,2004,0.108697175,Observed
ITA,2004,0.085127602,Observed
JAM,2004,0.453441558,Observed
JOR,2004,0.554660646,Observed
JPN,2004,0.087640844,Observed
KAZ,2004,0.328987116,Observed
KEN,2004,0.632062902,Observed
KGZ,2004,0.399189581,Observed
KHM,2004,0.557897815,Observed
KOR,2004,0.013053738,Observed
KWT,2004,0.350874244,Observed
LAO,2004,0.539567059,Observed
LBN,2004,0.445701231,Observed
LBR,2004,0.701780213,Observed
LCA,2004,0.426287046,Observed
LKA,2004,0.418789789,Observed
LSO,2004,0.592060876,Observed
LTU,2004,0.135035508,Observed
LUX,2004,0.063968868,Observed
LVA,2004,0.208411801,Observed
MAR,2004,0.527419262,Observed
MDA,2004,0.269346236,Observed
MDG,2004,0.642577125,Observed
MDV,2004,0.422200274,Observed
MEX,2004,0.418193587,Observed
MKD,2004,0.167920477,Observed
MLI,2004,0.686336784,Observed
MLT,2004,0.240735225,Observed
MNG,2004,0.399833155,Observed
MOZ,2004,0.593518661,Observed
MUS,2004,0.445505529,Observed
